id,name,type,year
rurouni-kenshin-meiji-kenkaku-romantan-2023,"Rurouni Kenshin: Meiji Kenkaku Romantan (2023)",anime,
ryza-no-atelier-tokoyami-no-joou-to-himitsu-no-kakurega,"Ryza no Atelier: Tokoyami no Joou to Himitsu no Kakurega",anime,
sabikui-bisco,"Sabikui Bisco",anime,
saihate-no-paladin,"Saihate no Paladin",anime,
saikyou-onmyouji-no-isekai-tenseiki,"Saikyou Onmyouji no Isekai Tenseiki",anime,
sakura-sou-no-pet-na-kanojo,"Sakura-sou no Pet na Kanojo",anime,
seija-musou-salaryman-isekai-de-ikinokoru-tame-ni-ayumu-michi,"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",anime,
seiken-densetsu-legend-of-mana-the-teardrop-crystal,"Seiken Densetsu: Legend of Mana - The Teardrop Crystal",anime,
seiken-gakuin-no-makentsukai,"Seiken Gakuin no Makentsukai",anime,
seishun-buta-yarou-wa-odekake-sister-no-yume-wo-minai,"Seishun Buta Yarou wa Odekake Sister no Yume wo Minai",anime,
sekirei,"Sekirei",anime,
sekirei-hajimete-no-otsukai,"Sekirei: Hajimete no Otsukai",anime,
sekirei-pure-engagement,"Sekirei: Pure Engagement",anime,
shadowverse-flame,"Shadowverse Flame",anime,
shaman-king-2021-2,"Shaman King (2021)",anime,
shingeki-no-kyojin-lost-girls,"Shingeki no Kyojin: Lost Girls",anime,
shinkalion-change-the-world,"Shinkalion: Change the World",anime,
shinmai-maou-no-testament-burst-toujou-basara-no-shigoku-heiwa-na-nichijou,"Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou",anime,
shinmai-maou-no-testament-burst,"Shinmai Maou no Testament Burst",anime,
shinmai-maou-no-testament,"Shinmai Maou no Testament",anime,
shinmai-maou-no-testament-departures,"Shinmai Maou no Testament Departures",anime,
shinmai-maou-no-testament-toujou-basara-no-hard-sweet-na-nichijou,"Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou",anime,
shinobi-no-ittoki,"Shinobi no Ittoki",anime,
shiro-seijo-to-kuro-bokushi,"Shiro Seijo to Kuro Bokushi",anime,
shinmai-renkinjutsushi-no-tenpo-keiei,"Shinmai Renkinjutsushi no Tenpo Keiei",anime,
show-by-rock-stars,"Show by Rock!! Stars!!",anime,
shuumatsu-no-walkure,"Shuumatsu no Walküre",anime,
sin-nanatsu-no-taizai,"Sin: Nanatsu no Taizai",anime,
naruto-shippuuden,"Naruto: Shippuuden",anime,
skip-to-loafer,"Skip to Loafer",anime,
spriggan,"Spriggan",anime,
spy-kyoushitsu,"Spy Kyoushitsu",anime,
suki-na-ko-ga-megane-wo-wasureta,"Suki na Ko ga Megane wo Wasureta",anime,
super-dragon-ball-heroes,"Super Dragon Ball Heroes",anime,
sword-art-online-alternative-gun-gale-online-2,"Sword Art Online Alternative: Gun Gale Online",anime,
sword-art-online-movie-ordinal-scale,"Sword Art Online Movie: Ordinal Scale",anime,
sword-art-online-alternative-gun-gale-online-ii-2,"Sword Art Online Alternative: Gun Gale Online II",anime,
sword-art-online-2,"Sword Art Online",anime,
sword-art-online-extra-edition,"Sword Art Online: Extra Edition",anime,
sword-art-online-alicization-war-of-underworld-2nd-season-2,"Sword Art Online: Alicization - War of Underworld 2nd Season",anime,
sword-art-online-progressive-movie-hoshi-naki-yoru-no-aria,"Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria",anime,
sword-art-online-alicization-war-of-underworld-2,"Sword Art Online: Alicization - War of Underworld",anime,
sword-art-online-progressive-movie-kuraki-yuuyami-no-scherzo,"Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo",anime,
sword-art-online-ii-2,"Sword Art Online II",anime,
sword-art-online-alicization-2,"Sword Art Online: Alicization",anime,
taisou-zamurai,"Taisou Zamurai",anime,
tales-of-zestiria-the-x-2nd-season,"Tales of Zestiria The X 2nd Season",anime,
tales-of-zestiria-the-x,"Tales of Zestiria the X",anime,
tearmoon-teikoku-monogatari-dantoudai-kara-hajimaru-hime-no-tensei-gyakuten-stor,"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story",anime,
technoroid-overmind,"Technoroid: Overmind",anime,
tengoku-daimakyou,"Tengoku Daimakyou",anime,
tensei-kizoku-no-isekai-boukenroku-jichou-wo-shiranai-kamigami-no-shito,"Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito",anime,
tensei-oujo-to-tensai-reijou-no-mahou-kakumei,"Tensei Oujo to Tensai Reijou no Mahou Kakumei",anime,
tensei-shitara-ken-deshita,"Tensei shitara Ken Deshita",anime,
teppen,"Teppen!!!!!!!!!!!!!!!",anime,
tesla-note,"Tesla Note",anime,
the-idolm-ster-cinderella-girls-u149,"The IDOLM@STER Cinderella Girls: U149",anime,
the-idolm-ster-million-live,"The iDOLM@STER Million Live!",anime,
the-legend-of-heroes-sen-no-kiseki-northern-war,"The Legend of Heroes: Sen no Kiseki - Northern War",anime,
the-marginal-service,"The Marginal Service",anime,
thermae-romae-novae,"Thermae Romae Novae",anime,
toaru-ossan-no-vrmmo-katsudouki,"Toaru Ossan no VRMMO Katsudouki",anime,
toaru-kagaku-no-railgun-t,"Toaru Kagaku no Railgun T",anime,
tokyo-mew-mew-new,"Tokyo Mew Mew New ♡",anime,
tomo-chan-wa-onnanoko,"Tomo-chan wa Onnanoko!",anime,
tokyo-revengers,"Tokyo Revengers",anime,
totsukuni-no-shoujo-2022,"Totsukuni no Shoujo (2022)",anime,
triage-x,"Triage X",anime,
triage-x-recollection-xoxo,"Triage X: Recollection XOXO",anime,
trigun-stampede,"Trigun Stampede",anime,
tsukimonogatari,"Tsukimonogatari",anime,
tsundere-akuyaku-reijou-liselotte-to-jikkyou-no-endou-kun-to-kaisetsu-no-kobayas,"Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san",anime,
uchi-no-kaisha-no-chiisai-senpai-no-hanashi,"Uchi no Kaisha no Chiisai Senpai no Hanashi",anime,
uchi-no-shishou-wa-shippo-ga-nai,"Uchi no Shishou wa Shippo ga Nai",anime,
undead-girl-murder-farce,"Undead Girl Murder Farce",anime,
uniteup,"UniteUp!",anime,
under-ninja,"Under Ninja",anime,
undead-unluck,"Undead Unluck",anime,
urusei-yatsura-2022,"Urusei Yatsura (2022)",anime,
vampire-hunter-d-2000,"Vampire Hunter D (2000)",anime,
vampire-in-the-garden,"Vampire in the Garden",anime,
utawarerumono-futari-no-hakuoro,"Utawarerumono: Futari no Hakuoro",anime,
vazzrock-the-animation,"Vazzrock The Animation",anime,
violet-evergarden-kitto-ai-wo-shiru-hi-ga-kuru-no-darou,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",anime,
vivy-fluorite-eye-s-song,"Vivy: Fluorite Eye's Song",anime,
vlad-love,"Vlad Love",anime,
world-dai-star,"World Dai Star",anime,
yamada-kun-to-lv999-no-koi-wo-suru,"Yamada-kun to Lv999 no Koi wo Suru",anime,
yosuga-no-sora-in-solitude-where-we-are-least-alone,"Yosuga no Sora: In Solitude, Where We Are Least Alone",anime,
yumemiru-danshi-wa-genjitsushugisha,"Yumemiru Danshi wa Genjitsushugisha",anime,
yuusha-ga-shinda,"Yuusha ga Shinda!",anime,
yuusha-party-wo-tsuihou-sareta-beast-tamer-saikyoushu-no-nekomimi-shoujo-to-deau,"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",anime,
yuzuki-san-chi-no-yonkyoudai,"Yuzuki-san Chi no Yonkyoudai",anime,
zuihou-de-zhaohuan-shi,"Zuihou de Zhaohuan Shi",anime,
zom-100-zombie-ni-naru-made-ni-shitai-100-no-koto,"Zom 100: Zombie ni Naru made ni Shitai 100 no Koto",anime,
yuu-yuu-hakusho,"Yuu☆Yuu☆Hakusho",anime,
