name,rawName,type_or_year,servers
"Big Freaking Rat 2020","فيلم Big Freaking Rat 2020 مترجم","2020","4"
"The Martian 2015","فيلم The Martian 2015 مترجم","2015","6"
"Maryam The Untold Story 2025","فيلم Maryam The Untold Story 2025 مترجم","2025","8"
"The Raja Saab 2026","فيلم The Raja Saab 2026 مترجم","2026","8"
"The Matrix 1999","فيلم The Matrix 1999 مترجم","1999","8"
"2012 2009","فيلم 2012 2009 مترجم","2012","8"
"Askin Yuzu 2025","فيلم Askin Yuzu 2025 مترجم","2025","8"
"Your Letter 2025","فيلم Your Letter 2025 مترجم","2025","8"
"Even if This Love Disappears from the World Tonight 2025","فيلم Even if This Love Disappears from the World Tonight 2025 مترجم","2025","8"
"Taste and Tears 2025","فيلم Taste and Tears 2025 مترجم","2025","6"
"Her Sey Yolunda 2025","فيلم Her Sey Yolunda 2025 مترجم","2025","6"
"I Am Legend 2007","فيلم I Am Legend 2007 مترجم","2007","5"
"Panggilan dari Kubur 2025","فيلم Panggilan dari Kubur 2025 مترجم","2025","6"
"The Firefighters 2024","فيلم The Firefighters 2024 مترجم","2024","7"
"The SpongeBob Search for SquarePants 2025","فيلم The SpongeBob Search for SquarePants 2025 مترجم","2025","7"
"The Shadows Edge 2025","فيلم The Shadows Edge 2025 مترجم","2025","7"
"Magik Rompak 2025","فيلم Magik Rompak 2025 مترجم","2025","7"
"Fureru 2024","فيلم Fureru 2024 مترجم","2024","7"
"مسرحية انستونا 2026","مسرحية انستونا 2026 كاملة","2026","7"
"Siccin 8 2025","فيلم Siccin 8 2025 مترجم","2025","7"
"Akhanda 2 2025","فيلم Akhanda 2 2025 مترجم","2025","6"
"The Old Bachelor 2024","فيلم The Old Bachelor 2024 مترجم","2024","5"
"Don’t Come Here 2025","فيلم Don’t Come Here 2025 مترجم","2025","7"
"The Cobbler 2014","فيلم The Cobbler 2014 مترجم","2014","7"
"The Day After Tomorrow 2004","فيلم The Day After Tomorrow 2004 مترجم","2004","7"
"The Eagle 2011","فيلم The Eagle 2011 مترجم","2011","7"
"The Evil Dead 1981","فيلم The Evil Dead 1981 مترجم","1981","7"
"The Founder 2016","فيلم The Founder 2016 مترجم","2016","7"
"The Judge 2014","فيلم The Judge 2014 مترجم","2014","7"
"The Kid Who Would Be King 2019","فيلم The Kid Who Would Be King 2019 مترجم","2019","7"
"The Mummy: Tomb of the Dragon Emperor 2008","فيلم The Mummy: Tomb of the Dragon Emperor 2008 مترجم","2008","7"
"The Mummy Returns 2001","فيلم The Mummy Returns 2001 مترجم","2001","7"
"The Postcard Killings 2020","فيلم The Postcard Killings 2020 مترجم","2020","7"
"Trainspotting 1996","فيلم Trainspotting 1996 مترجم","1996","7"
"The Final Girls 2015","فيلم The Final Girls 2015 مترجم","2015","7"
"Interview with the Vampire: The Vampire Chronicles 1994","فيلم Interview with the Vampire: The Vampire Chronicles 1994 مترجم","1994","4"
"Gran Torino 2008","فيلم Gran Torino 2008 مترجم","2008","5"
"Independence Day: Resurgence 2016","فيلم Independence Day: Resurgence 2016 مترجم","2016","5"
"Independence Day 1996","فيلم Independence Day 1996 مترجم","1996","6"
"Due Date 2010","فيلم Due Date 2010 مترجم","2010","5"
"Barry Lyndon 1975","فيلم Barry Lyndon 1975 مترجم","1975","4"
"A-X-L 2018","فيلم A-X-L 2018 مترجم","2018","6"
"Who Am I 2014","فيلم Who Am I 2014 مترجم","2014","5"
"Sherlock Holmes: A Game of Shadows 2011","فيلم Sherlock Holmes: A Game of Shadows 2011 مترجم","2011","7"
"Dogulu 2025","فيلم Dogulu 2025 مترجم","2025","7"
"Sherlock Holmes 2009","فيلم Sherlock Holmes 2009 مترجم","2009","6"
"The Girl Who Invented Kissing 2017","فيلم The Girl Who Invented Kissing 2017 مترجم","2017","2"
"Kaiju No 8 Mission Recon 2025","فيلم Kaiju No 8 Mission Recon 2025 مترجم","2025","4"
"Downton Abbey 3 The Grand Finale 2025","فيلم Downton Abbey 3 The Grand Finale 2025 مترجم","2025","8"
