id,name,type,year,source,image_url
noumin-kanren-no-skill-bakka-agetetara-nazeka-tsuyoku-natta,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta,anime,,witanime,
ojou-to-banken-kun,Ojou to Banken-kun,anime,,witanime,
okashi-na-tensei,Okashi na Tensei,anime,,witanime,
ooyukiumi-no-kaina,Ooyukiumi no Kaina,anime,,witanime,
otonari-ni-ginga,Otonari ni Ginga,anime,,witanime,
ousama-game-the-animation,Ousama Game The Animation,anime,,witanime,
ousama-ranking-yuuki-no-takarabako,Ousama Ranking: Yuuki no Takarabako,anime,,witanime,
overtake,Overtake!,anime,,witanime,
owarimonogatari,Owarimonogatari,anime,,witanime,
owarimonogatari-2nd-season,Owarimonogatari 2nd Season,anime,,witanime,
peter-grill-to-kenja-no-jikan,Peter Grill to Kenja no Jikan,anime,,witanime,
pluto,Pluto,anime,,witanime,
potion-danomi-de-ikinobimasu,Potion-danomi de Ikinobimasu!,anime,,witanime,
psycho-pass-2,Psycho-Pass 2,anime,,witanime,
psycho-pass-3,Psycho-Pass 3,anime,,witanime,
ragna-crimson,Ragna Crimson,anime,,witanime,
ranma1-2-2024-2,Ranma1/2 (2024),anime,,witanime,
renai-flops,Renai Flops,anime,,witanime,
revenger,Revenger,anime,,witanime,
rokudou-no-onna-tachi,Rokudou no Onna-tachi,anime,,witanime,
romantic-killer,Romantic Killer,anime,,witanime,
rurouni-kenshin-meiji-kenkaku-romantan-2023,Rurouni Kenshin: Meiji Kenkaku Romantan (2023),anime,,witanime,
ryza-no-atelier-tokoyami-no-joou-to-himitsu-no-kakurega,Ryza no Atelier: Tokoyami no Joou to Himitsu no Kakurega,anime,,witanime,
sabikui-bisco,Sabikui Bisco,anime,,witanime,
saihate-no-paladin,Saihate no Paladin,anime,,witanime,
saikyou-onmyouji-no-isekai-tenseiki,Saikyou Onmyouji no Isekai Tenseiki,anime,,witanime,
sakura-sou-no-pet-na-kanojo,Sakura-sou no Pet na Kanojo,anime,,witanime,
seija-musou-salaryman-isekai-de-ikinokoru-tame-ni-ayumu-michi,"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",anime,,witanime,
seiken-densetsu-legend-of-mana-the-teardrop-crystal,Seiken Densetsu: Legend of Mana - The Teardrop Crystal,anime,,witanime,
seiken-gakuin-no-makentsukai,Seiken Gakuin no Makentsukai,anime,,witanime,
seishun-buta-yarou-wa-odekake-sister-no-yume-wo-minai,Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,anime,,witanime,
sekirei,Sekirei,anime,,witanime,
sekirei-hajimete-no-otsukai,Sekirei: Hajimete no Otsukai,anime,,witanime,
sekirei-pure-engagement,Sekirei: Pure Engagement,anime,,witanime,
shadowverse-flame,Shadowverse Flame,anime,,witanime,
shaman-king-2021-2,Shaman King (2021),anime,,witanime,
shingeki-no-kyojin-lost-girls,Shingeki no Kyojin: Lost Girls,anime,,witanime,
shinkalion-change-the-world,Shinkalion: Change the World,anime,,witanime,
shinmai-maou-no-testament,Shinmai Maou no Testament,anime,,witanime,
shinmai-maou-no-testament-burst,Shinmai Maou no Testament Burst,anime,,witanime,
shinmai-maou-no-testament-burst-toujou-basara-no-shigoku-heiwa-na-nichijou,Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou,anime,,witanime,
shinmai-maou-no-testament-departures,Shinmai Maou no Testament Departures,anime,,witanime,
shinmai-maou-no-testament-toujou-basara-no-hard-sweet-na-nichijou,Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou,anime,,witanime,
shinmai-renkinjutsushi-no-tenpo-keiei,Shinmai Renkinjutsushi no Tenpo Keiei,anime,,witanime,
shinobi-no-ittoki,Shinobi no Ittoki,anime,,witanime,
shiro-seijo-to-kuro-bokushi,Shiro Seijo to Kuro Bokushi,anime,,witanime,
show-by-rock-stars,Show by Rock!! Stars!!,anime,,witanime,
shuumatsu-no-walkure,Shuumatsu no Walküre,anime,,witanime,
sin-nanatsu-no-taizai,Sin: Nanatsu no Taizai,anime,,witanime,
skip-to-loafer,Skip to Loafer,anime,,witanime,
spriggan,Spriggan,anime,,witanime,
spy-kyoushitsu,Spy Kyoushitsu,anime,,witanime,
suki-na-ko-ga-megane-wo-wasureta,Suki na Ko ga Megane wo Wasureta,anime,,witanime,
super-dragon-ball-heroes,Super Dragon Ball Heroes,anime,,witanime,
sword-art-online-2,Sword Art Online,anime,,witanime,
sword-art-online-alternative-gun-gale-online-2,Sword Art Online Alternative: Gun Gale Online,anime,,witanime,
sword-art-online-alternative-gun-gale-online-ii-2,Sword Art Online Alternative: Gun Gale Online II,anime,,witanime,
sword-art-online-ii-2,Sword Art Online II,anime,,witanime,
sword-art-online-movie-ordinal-scale,Sword Art Online Movie: Ordinal Scale,anime,,witanime,
sword-art-online-alicization-2,Sword Art Online: Alicization,anime,,witanime,
sword-art-online-alicization-war-of-underworld-2,Sword Art Online: Alicization - War of Underworld,anime,,witanime,
sword-art-online-alicization-war-of-underworld-2nd-season-2,Sword Art Online: Alicization - War of Underworld 2nd Season,anime,,witanime,
sword-art-online-extra-edition,Sword Art Online: Extra Edition,anime,,witanime,
sword-art-online-progressive-movie-hoshi-naki-yoru-no-aria,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,anime,,witanime,
sword-art-online-progressive-movie-kuraki-yuuyami-no-scherzo,Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,anime,,witanime,
taisou-zamurai,Taisou Zamurai,anime,,witanime,
tales-of-zestiria-the-x,Tales of Zestiria the X,anime,,witanime,
tales-of-zestiria-the-x-2nd-season,Tales of Zestiria The X 2nd Season,anime,,witanime,
tearmoon-teikoku-monogatari-dantoudai-kara-hajimaru-hime-no-tensei-gyakuten-stor,"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story",anime,,witanime,
technoroid-overmind,Technoroid: Overmind,anime,,witanime,
tengoku-daimakyou,Tengoku Daimakyou,anime,,witanime,
tensei-kizoku-no-isekai-boukenroku-jichou-wo-shiranai-kamigami-no-shito,Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,anime,,witanime,
tensei-oujo-to-tensai-reijou-no-mahou-kakumei,Tensei Oujo to Tensai Reijou no Mahou Kakumei,anime,,witanime,
tensei-shitara-ken-deshita,Tensei shitara Ken Deshita,anime,,witanime,
teppen,Teppen!!!!!!!!!!!!!!!,anime,,witanime,
tesla-note,Tesla Note,anime,,witanime,
the-idolm-ster-cinderella-girls-u149,The IDOLM@STER Cinderella Girls: U149,anime,,witanime,
the-idolm-ster-million-live,The iDOLM@STER Million Live!,anime,,witanime,
the-legend-of-heroes-sen-no-kiseki-northern-war,The Legend of Heroes: Sen no Kiseki - Northern War,anime,,witanime,
the-marginal-service,The Marginal Service,anime,,witanime,
thermae-romae-novae,Thermae Romae Novae,anime,,witanime,
toaru-kagaku-no-railgun-t,Toaru Kagaku no Railgun T,anime,,witanime,
toaru-ossan-no-vrmmo-katsudouki,Toaru Ossan no VRMMO Katsudouki,anime,,witanime,
tokyo-mew-mew-new,Tokyo Mew Mew New ♡,anime,,witanime,
tokyo-revengers,Tokyo Revengers,anime,,witanime,
tomo-chan-wa-onnanoko,Tomo-chan wa Onnanoko!,anime,,witanime,
totsukuni-no-shoujo-2022,Totsukuni no Shoujo (2022),anime,,witanime,
triage-x,Triage X,anime,,witanime,
triage-x-recollection-xoxo,Triage X: Recollection XOXO,anime,,witanime,
trigun-stampede,Trigun Stampede,anime,,witanime,
tsukimonogatari,Tsukimonogatari,anime,,witanime,
tsundere-akuyaku-reijou-liselotte-to-jikkyou-no-endou-kun-to-kaisetsu-no-kobayas,Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,anime,,witanime,
uchi-no-kaisha-no-chiisai-senpai-no-hanashi,Uchi no Kaisha no Chiisai Senpai no Hanashi,anime,,witanime,
uchi-no-shishou-wa-shippo-ga-nai,Uchi no Shishou wa Shippo ga Nai,anime,,witanime,
undead-girl-murder-farce,Undead Girl Murder Farce,anime,,witanime,
undead-unluck,Undead Unluck,anime,,witanime,
under-ninja,Under Ninja,anime,,witanime,
uniteup,UniteUp!,anime,,witanime,
urusei-yatsura-2022,Urusei Yatsura (2022),anime,,witanime,
utawarerumono-futari-no-hakuoro,Utawarerumono: Futari no Hakuoro,anime,,witanime,
vampire-hunter-d-2000,Vampire Hunter D (2000),anime,,witanime,
vampire-in-the-garden,Vampire in the Garden,anime,,witanime,
vazzrock-the-animation,Vazzrock The Animation,anime,,witanime,
vivy-fluorite-eye-s-song,Vivy: Fluorite Eye's Song,anime,,witanime,
vlad-love,Vlad Love,anime,,witanime,
world-dai-star,World Dai Star,anime,,witanime,
yamada-kun-to-lv999-no-koi-wo-suru,Yamada-kun to Lv999 no Koi wo Suru,anime,,witanime,
yosuga-no-sora-in-solitude-where-we-are-least-alone,"Yosuga no Sora: In Solitude, Where We Are Least Alone",anime,,witanime,
yumemiru-danshi-wa-genjitsushugisha,Yumemiru Danshi wa Genjitsushugisha,anime,,witanime,
yuu-yuu-hakusho,Yuu☆Yuu☆Hakusho,anime,,witanime,
yuusha-ga-shinda,Yuusha ga Shinda!,anime,,witanime,
yuusha-party-wo-tsuihou-sareta-beast-tamer-saikyoushu-no-nekomimi-shoujo-to-deau,"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",anime,,witanime,
yuzuki-san-chi-no-yonkyoudai,Yuzuki-san Chi no Yonkyoudai,anime,,witanime,
zom-100-zombie-ni-naru-made-ni-shitai-100-no-koto,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,anime,,witanime,
zuihou-de-zhaohuan-shi,Zuihou de Zhaohuan Shi,anime,,witanime,
