id,name,type,poster_source,final_status,image_url
undead-girl-murder-farce,Undead Girl Murder Farce,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx162983-T3nZyk6sUlEj.jpg
undead-unluck,Undead Unluck,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx154116-3ydDI9hhvPgw.png
under-ninja,Under Ninja,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx138788-CXUvAraN1xha.jpg
uniteup,UniteUp!,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx154969-dEPbdET6V9Uk.jpg
urusei-yatsura-2022,Urusei Yatsura (2022),anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx1293-xohJFutZXimo.jpg
utawarerumono-futari-no-hakuoro,Utawarerumono: Futari no Hakuoro,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx112640-odUuRLTwodH5.jpg
vampire-hunter-d-2000,Vampire Hunter D (2000),anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-vampire-hunter-d-2000-مترجم.jpg
vampire-in-the-garden,Vampire in the Garden,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx108357-i1p927RRYjxg.jpg
vazzrock-the-animation,Vazzrock The Animation,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx125910-ygY0iHvnPX0b.png
vivy-fluorite-eye-s-song,Vivy: Fluorite Eye's Song,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx128546-UIwyhuhjxmL0.jpg
vlad-love,Vlad Love,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx110200-QB9smw3HWyQC.jpg
world-dai-star,World Dai Star,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx157765-eHNYfzjXfJiG.png
yamada-kun-to-lv999-no-koi-wo-suru,Yamada-kun to Lv999 no Koi wo Suru,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx154965-vZbBRjtmLp7S.jpg
yosuga-no-sora-in-solitude-where-we-are-least-alone,"Yosuga no Sora: In Solitude,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx8861-DZKseZpdtBwp.jpg
yumemiru-danshi-wa-genjitsushugisha,Yumemiru Danshi wa Genjitsushugisha,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx157397-L1ZUMTuxf8OK.jpg
yuu-yuu-hakusho,Yuu☆Yuu☆Hakusho,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/yuu-yuu-hakusho.jpg
yuusha-ga-shinda,Yuusha ga Shinda!,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx148109-cwAINDGwAHB2.jpg
yuusha-party-wo-tsuihou-sareta-beast-tamer-saikyoushu-no-nekomimi-shoujo-to-deau,"Yuusha Party wo Tsuihou sareta Beast Tamer,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx150695-UOQF6Zz2iCTX.jpg
yuzuki-san-chi-no-yonkyoudai,Yuzuki-san Chi no Yonkyoudai,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx164312-3eLpxsRk5COE.jpg
zom-100-zombie-ni-naru-made-ni-shitai-100-no-koto,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx159831-cJUNqCqzuApc.png
zuihou-de-zhaohuan-shi,Zuihou de Zhaohuan Shi,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx114108-Qe5wwJQr5H4O.jpg
