id,name,type,year,source,image_url,match_status
kizumonogatari-ii-nekketsu-hen,Kizumonogatari II: Nekketsu-hen,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-kizumonogatari-ii-nekketsu-hen.png,matched_name
kizumonogatari-iii-reiketsu-hen,Kizumonogatari III: Reiketsu-hen,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-kizumonogatari-iii-reiketsu-hen.png,matched_name
kono-subarashii-sekai-ni-bakuen-wo,Kono Subarashii Sekai ni Bakuen wo!,anime,,witanime,,not_found_on_site
kono-subarashii-sekai-ni-shukufuku-wo-2,Kono Subarashii Sekai ni Shukufuku wo! 2,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/kono-subarashii-sekai-ni-shukufuku-wo-2.jpg,matched_slug
kono-subarashii-sekai-ni-shukufuku-wo-2-kono-subarashii-geijutsu-ni-shukufuku-wo,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/اوفا-kono-subarashii-sekai-ni-shukufuku-wo-2-kono-subarashii-geijutsu-ni-shukufuku-wo.png,matched_name
kono-subarashii-sekai-ni-shukufuku-wo-kono-subarashii-choker-ni-shukufuku-wo,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/اوفا-kono-subarashii-sekai-ni-shukufuku-wo-kono-subarashii-choker-ni-shukufuku-wo.png,matched_name
konyaku-haki-sareta-reijou-wo-hirotta-ore-ga-ikenai-koto-wo-oshiekomu,"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",anime,,witanime,,not_found_on_site
koori-zokusei-danshi-to-cool-na-douryou-joshi,Koori Zokusei Danshi to Cool na Douryou Joshi,anime,,witanime,,not_found_on_site
koukyuu-no-karasu,Koukyuu no Karasu,anime,,witanime,,not_found_on_site
kubo-san-wa-mob-wo-yurusanai,Kubo-san wa Mob wo Yurusanai,anime,,witanime,,not_found_on_site
kuma-kuma-kuma-bear,Kuma Kuma Kuma Bear,anime,,witanime,,not_found_on_site
kyoukai-no-kanata-movie-1-i-ll-be-here-kako-hen,Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,anime,,witanime,,not_found_on_site
kyoukai-no-kanata-movie-2-i-ll-be-here-mirai-hen,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,anime,,witanime,,not_found_on_site
kyuuketsuki-sugu-shinu,Kyuuketsuki Sugu Shinu,anime,,witanime,,not_found_on_site
lets-play-quest-darake-no-my-life-2,Lets Play Quest-darake no My Life,anime,,witanime,,not_found_on_site
level-1-dakedo-unique-skill-de-saikyou-desu,Level 1 dakedo Unique Skill de Saikyou desu,anime,,witanime,,not_found_on_site
liar-liar,Liar Liar,anime,,witanime,,not_found_on_site
lookism,Lookism,anime,,witanime,,not_found_on_site
lupin-zero,Lupin Zero,anime,,witanime,,not_found_on_site
mahou-shoujo-magical-destroyers,Mahou Shoujo Magical Destroyers,anime,,witanime,,not_found_on_site
