name,type,image_name,page_url
First Class,series,first-class.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-first-class-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Notre-Dame,series,notre-dame.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-notre-dame-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Old Enough!,series,old-enough.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%A3%D8%B5%D8%A8%D8%AD%D9%86%D8%A7-%D9%83%D8%A8%D8%A7%D8%B1%D8%A7-2-old-enough-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Take 1,series,take-1.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-take-1-%D8%A3%D8%BA%D9%86%D9%8A%D8%AA%D9%8A-%D8%A7%D9%84%D8%A3%D8%AE%D9%8A%D8%B1%D8%A9-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
برنامج The Law of the Jungle,series,برنامج-the-law-of-the-jungle.jpg,https://tuk.tuktukarab.cfd/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-the-law-of-the-jungle-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Thicker Than Water,series,thicker-than-water.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-thicker-than-water-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Thirty-Nine,series,thirty-nine.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%AA%D8%B3%D8%B9%D8%A9-%D9%88%D8%AB%D9%84%D8%A7%D8%AB%D9%88%D9%86-thirty-nine-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Summer Heat,series,summer-heat.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-summer-heat-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Glória,series,gl-ria.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-gloria-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Everything Will be Fine,series,everything-will-be-fine.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-everything-will-be-fine-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Hit and Run,series,hit-and-run.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-hit-and-run-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Dealer,series,dealer.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-dealer-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Marriage Lyrics For Divorce Music,series,marriage-lyrics-for-divorce-music.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D9%83%D9%84%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D8%B2%D9%88%D8%A7%D8%AC-3-love-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Mystery Lab,series,mystery-lab.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-mystery-lab-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Inhuman Resources,series,inhuman-resources.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-inhuman-resources-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Reverse,series,reverse.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D9%8A%D8%B9%D9%83%D8%B3-reverse-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Reply 1997,series,reply-1997.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-reply-1988-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Moon River,series,moon-river.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D9%86%D9%87%D8%B1-%D8%A7%D9%84%D9%82%D9%85%D8%B1-moon-river-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Tempest,series,tempest.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%A7%D9%84%D8%B9%D8%A7%D8%B5%D9%81%D8%A9-tempest-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Low Life,series,low-life.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%AD%D9%8A%D8%A7%D8%A9-%D9%88%D8%B6%D9%8A%D8%B9%D8%A9-low-life-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Head over Heels,series,head-over-heels.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%A7%D9%84%D9%87%D9%8A%D8%A7%D9%85-%D9%81%D9%8A-%D8%A7%D9%84%D8%AD%D8%A8-head-over-heels-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Shark 2: The Storm,series,shark-2-the-storm.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%A7%D9%84%D9%82%D8%B1%D8%B4-2-%D8%A7%D9%84%D8%B9%D8%A7%D8%B5%D9%81%D8%A9-shark-2-the-storm-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Local Hero,series,local-hero.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%A8%D8%B7%D9%84-%D8%A7%D9%84%D8%AD%D9%8A-local-hero-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
